2026-04-05 03:37:10.289 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:38:14.704 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:38:14.711 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:38:16.004 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:38:16.012 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:38:24.340 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:38:24.348 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:38:40.922 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:38:40.927 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:39:13.326 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:39:13.332 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:39:31.015 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:39:31.021 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:39:39.426 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:39:39.886 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:39:56.448 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:39:56.453 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:17.754 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:17.759 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:18.348 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:18.354 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:26.667 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:26.672 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:29.099 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:29.105 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:43.339 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:40:43.349 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:15.788 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:15.794 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:33.548 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:33.554 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
2026-04-05 03:41:34.049 [warning  ] [core        ] [plugin    ] using_fallback_codex_data      [ccproxy.plugins.codex.detection_service]
